"model","scenario","region","variable","unit","year","value"
"WITCH 6.0","SSP2_ce_narrow","china","Population","million people",2070,1085.39424620409
"WITCH 6.0","SSP2_ce_narrow","eu27","Population","million people",2070,426.549834837329
"WITCH 6.0","SSP2_ce_narrow","india","Population","million people",2070,1607.62388805784
"WITCH 6.0","SSP2_ce_narrow","indonesia","Population","million people",2070,310.017540567597
"WITCH 6.0","SSP2_ce_narrow","japan","Population","million people",2070,93.3418623226418
"WITCH 6.0","SSP2_ce_narrow","korea","Population","million people",2070,38.0075107841768
"WITCH 6.0","SSP2_ce_narrow","laca","Population","million people",2070,368.226592514779
"WITCH 6.0","SSP2_ce_narrow","mena","Population","million people",2070,745.877517654182
"WITCH 6.0","SSP2_ce_narrow","mexico","Population","million people",2070,153.946337587953
"WITCH 6.0","SSP2_ce_narrow","oceania","Population","million people",2070,63.5383849518026
"WITCH 6.0","SSP2_ce_narrow","othereurope","Population","million people",2070,105.137955656232
"WITCH 6.0","SSP2_ce_narrow","sasia","Population","million people",2070,814.249619671197
"WITCH 6.0","SSP2_ce_narrow","seasia","Population","million people",2070,467.805237905728
"WITCH 6.0","SSP2_ce_narrow","southafrica","Population","million people",2070,69.462316598641
"WITCH 6.0","SSP2_ce_narrow","ssa","Population","million people",2070,2749.40064614377
"WITCH 6.0","SSP2_ce_narrow","te","Population","million people",2070,268.799934251807
"WITCH 6.0","SSP2_ce_narrow","usa","Population","million people",2070,390.957572594381
"WITCH 6.0","SSP2_ce_narrow","world","Population","million people",2070,10171.9247166473
"WITCH 6.0","SSP2_ce_narrow","brazil","GDP|MER","billion US$2005",2005,1236.4571095256
"WITCH 6.0","SSP2_ce_narrow","canada","GDP|MER","billion US$2005",2005,1216.28087651561
"WITCH 6.0","SSP2_ce_narrow","ccasia","GDP|MER","billion US$2005",2005,202.00211902381
"WITCH 6.0","SSP2_ce_narrow","china","GDP|MER","billion US$2005",2005,4422.58691577639
"WITCH 6.0","SSP2_ce_narrow","eu27","GDP|MER","billion US$2005",2005,11492.63984379
"WITCH 6.0","SSP2_ce_narrow","india","GDP|MER","billion US$2005",2005,1016.16641067627
"WITCH 6.0","SSP2_ce_narrow","indonesia","GDP|MER","billion US$2005",2005,461.713761577223
"WITCH 6.0","SSP2_ce_narrow","japan","GDP|MER","billion US$2005",2005,3889.76925095351
"WITCH 6.0","SSP2_ce_narrow","korea","GDP|MER","billion US$2005",2005,949.477899182213
"WITCH 6.0","SSP2_ce_narrow","laca","GDP|MER","billion US$2005",2005,1393.85719010067
"WITCH 6.0","SSP2_ce_narrow","mena","GDP|MER","billion US$2005",2005,2050.54633950124
"WITCH 6.0","SSP2_ce_narrow","mexico","GDP|MER","billion US$2005",2005,934.559801591723
"WITCH 6.0","SSP2_ce_narrow","oceania","GDP|MER","billion US$2005",2005,1109.05366009374
"WITCH 6.0","SSP2_ce_narrow","othereurope","GDP|MER","billion US$2005",2005,3315.58479033584
"WITCH 6.0","SSP2_ce_narrow","sasia","GDP|MER","billion US$2005",2005,361.589413978695
"WITCH 6.0","SSP2_ce_narrow","seasia","GDP|MER","billion US$2005",2005,947.332392862357
"WITCH 6.0","SSP2_ce_narrow","southafrica","GDP|MER","billion US$2005",2005,241.027193157475
"WITCH 6.0","SSP2_ce_narrow","ssa","GDP|MER","billion US$2005",2005,711.063796342296
"WITCH 6.0","SSP2_ce_narrow","te","GDP|MER","billion US$2005",2005,1596.58635395523
"WITCH 6.0","SSP2_ce_narrow","usa","GDP|MER","billion US$2005",2005,14229.092087284
"WITCH 6.0","SSP2_ce_narrow","world","GDP|MER","billion US$2005",2005,51777.3872062239
"WITCH 6.0","SSP2_ce_narrow","brazil","GDP|MER","billion US$2005",2010,1500.8166284057
"WITCH 6.0","SSP2_ce_narrow","canada","GDP|MER","billion US$2005",2010,1307.2919050119
"WITCH 6.0","SSP2_ce_narrow","ccasia","GDP|MER","billion US$2005",2010,293.486291079054
"WITCH 6.0","SSP2_ce_narrow","china","GDP|MER","billion US$2005",2010,7290.55773935493
"WITCH 6.0","SSP2_ce_narrow","eu27","GDP|MER","billion US$2005",2010,12070.1590278201
"WITCH 6.0","SSP2_ce_narrow","india","GDP|MER","billion US$2005",2010,1403.41669374863
"WITCH 6.0","SSP2_ce_narrow","indonesia","GDP|MER","billion US$2005",2010,612.069338741047
"WITCH 6.0","SSP2_ce_narrow","japan","GDP|MER","billion US$2005",2010,3889.14607429821
